id|url|title|summary|date_published|reader|writer|reader_wikidata|writer_wikidata
karen-russell-reads-mavis-gallant|https://www.newyorker.com/podcast/fiction/karen-russell-reads-mavis-gallant|Karen Russell Reads Mavis Gallant|Karen Russell reads “From the Fifteenth District,” by Mavis Gallant.|2016-10-03|Karen Russell|Mavis Gallant|Q3812975|Q2550824
annie-proulx-reads-j-f-powers|https://www.newyorker.com/podcast/fiction/annie-proulx-reads-j-f-powers|Annie Proulx Reads J. F. Powers|Annie Proulx reads “A Losing Game,” by J. F. Powers.|2016-09-01|Annie Proulx|J. F. Powers|Q229840|Q1369803
alice-mattison-reads-lore-segal|https://www.newyorker.com/podcast/fiction/alice-mattison-reads-lore-segal|Alice Mattison Reads Lore Segal|Alice Mattison reads “The First American,” by Lore Segal.|2016-08-01|Alice Mattison|Lore Segal|Q16204726|Q215436
ben-lerner-reads-john-berger|https://www.newyorker.com/podcast/fiction/ben-lerner-reads-john-berger|Ben Lerner Reads John Berger|Ben Lerner joins Deborah Treisman to read and discuss John Berger’s “Woven, Sir,” from a 2001 issue of the magazine.|2016-07-01|Ben Lerner|John Berger|Q1836356|Q382604
karl-ove-knausgaard-reads-v-s-naipaul|https://www.newyorker.com/podcast/fiction/karl-ove-knausgaard-reads-v-s-naipaul|Karl Ove Knausgaard Reads V. S. Naipaul|Karl Ove Knausgaard joins Deborah Treisman to read and discuss V. S. Naipaul’s “Jack’s Garden,” from a 1986 issue of the magazine.|2016-06-01|Karl Ove Knausgaard|V. S. Naipaul|Q609317|Q44593
dana-spiotta-reads-joy-williams|https://www.newyorker.com/podcast/fiction/dana-spiotta-reads-joy-williams|Dana Spiotta Reads Joy Williams|Dana Spiotta joins Deborah Treisman to read and discuss Joy Williams’s “Chicken Hill,” from a 2015 issue of the magazine.|2016-05-02|Dana Spiotta|Joy Williams|Q5214834|Q6297286
anne-enright-reads-frank-oconnor|https://www.newyorker.com/podcast/fiction/anne-enright-reads-frank-oconnor|Anne Enright Reads Frank O’Connor|Anne Enright joins Deborah Treisman to read and discuss Frank O’Connor’s “The Masculine Principle,” from a 1950 issue of the magazine.|2016-04-01|Anne Enright|Frank O’Connor|Q73176|Q1351972
jonathan-franzen-reads-david-means|https://www.newyorker.com/podcast/fiction/jonathan-franzen-reads-david-means|Jonathan Franzen Reads David Means|Jonathan Franzen joins Deborah Treisman to read and discuss David Means’s “The Spot,” from a 2006 issue of the magazine.|2016-03-01|Jonathan Franzen|David Means|Q316607|Q5237471
kevin-barry-reads-brian-friel|https://www.newyorker.com/podcast/fiction/kevin-barry-reads-brian-friel|Kevin Barry Reads Brian Friel|Kevin Barry joins Deborah Treisman to read and discuss Brian Friel’s “The Saucer of Larks,” from a 1960 issue of the magazine.|2016-02-01|Kevin Barry|Brian Friel|Q6395795|Q283227
rivka-galchen-reads-isaac-bashevis-singer|https://www.newyorker.com/podcast/fiction/rivka-galchen-reads-isaac-bashevis-singer|Rivka Galchen Reads Isaac Bashevis Singer|"Rivka Galchen joins Deborah Treisman to read and discuss Isaac Bashevis Singer's ""The Cafeteria,"" from a 1968 issue of the magazine."|2016-01-04|Rivka Galchen|Isaac Bashevis Singer|Q2265147|Q75612
andrew-ohagan-reads-edna-obrien|https://www.newyorker.com/podcast/fiction/andrew-ohagan-reads-edna-obrien|Andrew O’Hagan Reads Edna O’Brien|Andrew O’Hagan joins Deborah Treisman to read and discuss Edna O’Brien’s “The Widow,” from a 1989 issue of the magazine.|2015-12-01|Andrew O’Hagan|Edna O’Brien|Q4758145|Q178225
lydia-davis-reads-robert-gorham-davis|https://www.newyorker.com/podcast/fiction/lydia-davis-reads-robert-gorham-davis|Lydia Davis Reads Robert Gorham Davis|Lydia Davis joins Deborah Treisman to read and discuss Robert Gorham Davis’s “Then We’ll Set it Right,” from a 1943 issue of the magazine.|2015-11-02|Lydia Davis|Robert Gorham Davis|Q1280035|Q47681708
allan-gurganus-reads-grace-paley|https://www.newyorker.com/podcast/fiction/allan-gurganus-reads-grace-paley|Allan Gurganus Reads Grace Paley|The author reads Grace Paley’s “My Father Addresses Me on the Facts of Old Age,” from 2002.|2015-10-01|Allan Gurganus|Grace Paley|Q1805285|Q443966
lionel-shriver-reads-t-c-boyle|https://www.newyorker.com/podcast/fiction/lionel-shriver-reads-t-c-boyle|Lionel Shriver Reads T. C. Boyle|Lionel Shriver joins Deborah Treisman to read and discuss T. C. Boyle’s “Chicxulub,” from a 2004 issue of the magazine.|2015-09-01|Lionel Shriver|T. C. Boyle|Q622232|Q786526
sam-lipsyte-reads-about-jessie-mae-by-james-purdy|https://www.newyorker.com/podcast/fiction/sam-lipsyte-reads-about-jessie-mae-by-james-purdy|Sam Lipsyte Reads “About Jessie Mae” by James Purdy|Sam Lipsyte and Deborah Treisman discuss James Purdy’s short story “About Jessie Mae,” from a 1957 issue of the magazine.|2015-08-01|Sam Lipsyte|James Purdy|Q598494|Q984415
yiyun-li-reads-patricia-highsmith|https://www.newyorker.com/podcast/fiction/yiyun-li-reads-patricia-highsmith|Yiyun Li Reads Patricia Highsmith|Yiyun Li joins Deborah Treisman to read and discuss Patricia Highsmith’s “The Trouble with Mrs. Blynn, the Trouble with the World.”|2015-07-01|Yiyun Li|Patricia Highsmith|Q460088|Q270635
michael-cunningham-reads-dumbness-is-everything-by-harold-brodkey|https://www.newyorker.com/podcast/fiction/michael-cunningham-reads-dumbness-is-everything-by-harold-brodkey|Michael Cunningham reads “Dumbness Is Everything” by Harold Brodkey|Michael Cunningham joins Deborah Treisman to read and discuss Harold Brodkey’s “Dumbness Is Everything,” from a 1996 issue of the magazine.|2015-06-01|Michael Cunningham|Harold Brodkey|Q310257|Q560733
joshua-ferris-reads-robert-coover|https://www.newyorker.com/podcast/fiction/joshua-ferris-reads-robert-coover|Joshua Ferris Reads Robert Coover||2015-05-01|Joshua Ferris|Robert Coover|Q967640|Q1282338
thomas-mcguane-reads-david-means|https://www.newyorker.com/podcast/fiction/thomas-mcguane-reads-david-means|Thomas McGuane Reads David Means||2015-04-01|Thomas Mcguane|David Means|Q2265116|Q5237471
etgar-keret-reads-donald-barthelme|https://www.newyorker.com/podcast/fiction/etgar-keret-reads-donald-barthelme|Etgar Keret Reads Donald Barthelme||2015-03-02|Etgar Keret|Donald Barthelme|Q378882|Q353869
antonya-nelson-reads-tom-drury|https://www.newyorker.com/podcast/fiction/antonya-nelson-reads-tom-drury|Antonya Nelson Reads Tom Drury||2015-02-02|Antonya Nelson|Tom Drury|Q4777267|Q7815662
joseph-oneill-reads-muriel-spark|https://www.newyorker.com/podcast/fiction/joseph-oneill-reads-muriel-spark|Joseph O’Neill Reads Muriel Spark||2014-12-31|Joseph O’Neill|Muriel Spark|Q151708|Q233956
aleksandar-hemon-reads-pnin-by-vladimir-nabokov|https://www.newyorker.com/podcast/fiction/aleksandar-hemon-reads-pnin-by-vladimir-nabokov|Aleksandar Hemon Reads Vladimir Nabokov||2014-12-01|Aleksandar Hemon|Vladimir Nabokov|Q738114|Q36591
david-gilbert-reads-leg-by-steven-polansky|https://www.newyorker.com/podcast/fiction/david-gilbert-reads-leg-by-steven-polansky|David Gilbert Reads Steven Polansky||2014-11-04|David Gilbert|Steven Polansky|Q17385807|Q47504712
george-saunders-reads-love-grace-paley-and-the-wretched-seventies-barry-hannah|https://www.newyorker.com/podcast/fiction/george-saunders-reads-love-grace-paley-and-the-wretched-seventies-barry-hannah|George Saunders Reads Grace Paley and Barry Hannah||2014-10-01|George Saunders|Barry Hannah|Q1251926|Q458336
akhil-sharma-reads-tobias-wolff|https://www.newyorker.com/podcast/fiction/akhil-sharma-reads-tobias-wolff|Akhil Sharma Reads Tobias Wolff||2014-09-29|Akhil Sharma|Tobias Wolff|Q4700740|Q495754
joyce-carol-oates-reads-cynthia-ozick|https://www.newyorker.com/podcast/fiction/joyce-carol-oates-reads-cynthia-ozick|Joyce Carol Oates Reads Cynthia Ozick||2014-09-29|Joyce Carol Oates|Cynthia Ozick|Q217557|Q444849
miranda-july-reads-janet-frame|https://www.newyorker.com/podcast/fiction/miranda-july-reads-janet-frame|Miranda July Reads Janet Frame||2014-09-29|Miranda July|Janet Frame|Q256671|Q241215
rebecca-curtis-reads-leonard-michaels|https://www.newyorker.com/podcast/fiction/rebecca-curtis-reads-leonard-michaels|Rebecca Curtis Reads Leonard Michaels||2014-09-29|Rebecca Curtis|Leonard Michaels|Q7301712|Q3229679
tim-parks-reads-peter-stamm|https://www.newyorker.com/podcast/fiction/tim-parks-reads-peter-stamm|Tim Parks reads Peter Stamm.||2014-09-29|Tim Parks|Peter Stamm.|Q322261|Q125598
nathan-englander-reads-john-cheevers-the-enormous-radio|https://www.newyorker.com/podcast/fiction/nathan-englander-reads-john-cheevers-the-enormous-radio|Nathan Englander Reads John Cheever’s “The Enormous Radio”||2014-09-29|Nathan Englander|John Cheever|Q1655990|Q336151
jennifer-egan-reads-mary-gaitskill|https://www.newyorker.com/podcast/fiction/jennifer-egan-reads-mary-gaitskill|Jennifer Egan reads Mary Gaitskill||2014-03-04|Jennifer Egan|Mary Gaitskill|Q264283|Q545781
t-c-boyle-reads-donald-barthelme|https://www.newyorker.com/podcast/fiction/t-c-boyle-reads-donald-barthelme|T. C. Boyle reads Donald Barthelme||2014-02-04|T. C. Boyle|Donald Barthelme|Q786526|Q353869
paul-theroux-reads-elizabeth-taylor|https://www.newyorker.com/podcast/fiction/paul-theroux-reads-elizabeth-taylor|Paul Theroux Reads Elizabeth Taylor||2014-01-03|Paul Theroux|Elizabeth Taylor|Q510320|Q442330
jonathan-safran-foer-reads-amos-oz|https://www.newyorker.com/podcast/fiction/jonathan-safran-foer-reads-amos-oz|Jonathan Safran Foer reads Amos Oz||2013-12-03|Jonathan Safran Foer|Amos Oz|Q359548|Q151872
louise-erdrich-reads-joyce-carol-oates|https://www.newyorker.com/podcast/fiction/louise-erdrich-reads-joyce-carol-oates|Louise Erdrich reads Joyce Carol Oates||2013-11-02|Louise Erdrich|Joyce Carol Oates|Q442679|Q217557
jonathan-lethem-reads-v-s-pritchett|https://www.newyorker.com/podcast/fiction/jonathan-lethem-reads-v-s-pritchett|Jonathan Lethem reads V. S. Pritchett||2013-10-02|Jonathan Lethem|V. S. Pritchett|Q440100|Q1885875
rick-bass-reads-thomas-mcguane|https://www.newyorker.com/podcast/fiction/rick-bass-reads-thomas-mcguane|Rick Bass reads Thomas McGuane||2013-09-04|Rick Bass|Thomas Mcguane|Q3431527|Q2265116
donald-antrim-reads-denis-johnson|https://www.newyorker.com/podcast/fiction/donald-antrim-reads-denis-johnson|Donald Antrim reads Denis Johnson||2013-08-02|Donald Antrim|Denis Johnson|Q714153|Q340016
gary-shteyngart-reads-lorrie-moore|https://www.newyorker.com/podcast/fiction/gary-shteyngart-reads-lorrie-moore|Gary Shteyngart reads Lorrie Moore||2013-07-03|Gary Shteyngart|Lorrie Moore|Q1334139|Q204168
robert-coover-reads-italo-calvino|https://www.newyorker.com/podcast/fiction/robert-coover-reads-italo-calvino|Robert Coover reads Italo Calvino||2013-06-04|Robert Coover|Italo Calvino|Q1282338|Q154756
richard-ford-reads-harold-brodkey|https://www.newyorker.com/podcast/fiction/richard-ford-reads-harold-brodkey|Richard Ford reads Harold Brodkey||2013-05-04|Richard Ford|Harold Brodkey|Q547794|Q560733
margaret-atwood-reads-mavis-gallant|https://www.newyorker.com/podcast/fiction/margaret-atwood-reads-mavis-gallant|Margaret Atwood reads Mavis Gallant.||2013-04-02|Margaret Atwood|Mavis Gallant.|Q183492|Q2550824
edwidge-danticat-reads-jamaica-kincaid|https://www.newyorker.com/podcast/fiction/edwidge-danticat-reads-jamaica-kincaid|Edwidge Danticat reads Jamaica Kincaid||2013-03-06|Edwidge Danticat|Jamaica Kincaid|Q450346|Q275601
francisco-goldman-reads-roberto-bolano|https://www.newyorker.com/podcast/fiction/francisco-goldman-reads-roberto-bolano|Francisco Goldman Reads Roberto Bolano||2013-02-02|Francisco Goldman|Roberto Bolano|Q3081853|Q297532
tony-earley-reads-william-maxwell|https://www.newyorker.com/podcast/fiction/tony-earley-reads-william-maxwell|Tony Earley Reads William Maxwell||2013-01-03|Tony Earley|William Maxwell|Q7822271|Q1541271
hisham-matar-reads-jorge-luis-borges|https://www.newyorker.com/podcast/fiction/hisham-matar-reads-jorge-luis-borges|Hisham Matar reads Jorge Luis Borges||2012-12-04|Hisham Matar|Jorge Luis Borges|Q673985|Q909
david-sedaris-reads-miranda-july|https://www.newyorker.com/podcast/fiction/david-sedaris-reads-miranda-july|David Sedaris reads Miranda July||2012-11-01|David Sedaris|Miranda July|Q1176577|Q256671
sherman-alexie-reads-jessamyn-west|https://www.newyorker.com/podcast/fiction/sherman-alexie-reads-jessamyn-west|Sherman Alexie reads Jessamyn West||2012-10-04|Sherman Alexie|Jessamyn West|Q727331|Q1688127
tessa-hadley-reads-nadine-gordimer|https://www.newyorker.com/podcast/fiction/tessa-hadley-reads-nadine-gordimer|Tessa Hadley reads Nadine Gordimer||2012-09-05|Tessa Hadley|Nadine Gordimer|Q23014955|Q47619
maile-meloy-reads-laurie-colwin|https://www.newyorker.com/podcast/fiction/maile-meloy-reads-laurie-colwin|Maile Meloy reads Laurie Colwin||2012-08-02|Maile Meloy|Laurie Colwin|Q541890|Q3219646
james-salter-reads-reynolds-price|https://www.newyorker.com/podcast/fiction/james-salter-reads-reynolds-price|James Salter reads Reynolds Price||2012-06-30|James Salter|Reynolds Price|Q1395915|Q2619779
dave-eggers-reads-roddy-doyle|https://www.newyorker.com/podcast/fiction/dave-eggers-reads-roddy-doyle|Dave Eggers reads Roddy Doyle||2012-06-02|Dave Eggers|Roddy Doyle|Q589497|Q73506
matthew-klam-reads-charles-dambrosio|https://www.newyorker.com/podcast/fiction/matthew-klam-reads-charles-dambrosio|Matthew Klam reads Charles D'Ambrosio||2012-05-01|Matthew Klam|Charles D'Ambrosio|Q6790814|Q2628164
colm-toibin-reads-sylvia-townsend-warner|https://www.newyorker.com/podcast/fiction/colm-toibin-reads-sylvia-townsend-warner|Colm Toibin reads Sylvia Townsend Warner||2012-03-17|Colm Toibin|Sylvia Townsend Warner|Q470758|Q462270
nicole-krauss-reads-bruno-schulz|https://www.newyorker.com/podcast/fiction/nicole-krauss-reads-bruno-schulz|Nicole Krauss reads Bruno Schulz||2012-02-17|Nicole Krauss|Bruno Schulz|Q466431|Q148886
thomas-beller-reads-niccolo-tucci|https://www.newyorker.com/podcast/fiction/thomas-beller-reads-niccolo-tucci|Thomas Beller reads Niccolo Tucci||2012-01-19|Thomas Beller|Niccolo Tucci|Q7787556|Q3875906
tea-obreht-reads-stephanie-vaughn|https://www.newyorker.com/podcast/fiction/tea-obreht-reads-stephanie-vaughn|Tea Obreht reads Stephanie Vaughn||2011-12-16|Tea Obreht|Stephanie Vaughn|Q439226|Q47504827
said-sayrafiezadeh-reads-thomas-beller|https://www.newyorker.com/podcast/fiction/said-sayrafiezadeh-reads-thomas-beller|Said Sayrafiezadeh reads Thomas Beller||2011-11-19|Said Sayrafiezadeh|Thomas Beller|Q2212143|Q7787556
colum-mccann-reads-benedict-kiely|https://www.newyorker.com/podcast/fiction/colum-mccann-reads-benedict-kiely|Colum McCann reads Benedict Kiely||2011-10-19|Colum Mccann|Benedict Kiely|Q966228|Q816879
ben-marcus-reads-kazuo-ishiguro|https://www.newyorker.com/podcast/fiction/ben-marcus-reads-kazuo-ishiguro|Ben Marcus reads Kazuo Ishiguro||2011-09-21|Ben Marcus|Kazuo Ishiguro|Q816553|Q272855
salman-rushdie-reads-donald-barthelme|https://www.newyorker.com/podcast/fiction/salman-rushdie-reads-donald-barthelme|Salman Rushdie reads Donald Barthelme||2011-08-19|Salman Rushdie|Donald Barthelme|Q44306|Q353869
zz-packer-reads-stuart-dybek|https://www.newyorker.com/podcast/fiction/zz-packer-reads-stuart-dybek|ZZ Packer reads Stuart Dybek||2011-07-16|Zz Packer|Stuart Dybek|Q8063320|Q7626494
lauren-groff-reads-alice-munro|https://www.newyorker.com/podcast/fiction/lauren-groff-reads-alice-munro|Lauren Groff reads Alice Munro||2011-06-21|Lauren Groff|Alice Munro|Q6500240|Q234819
allegra-goodman-reads-john-updike|https://www.newyorker.com/podcast/fiction/allegra-goodman-reads-john-updike|Allegra Goodman reads John Updike||2011-05-21|Allegra Goodman|John Updike|Q4731395|Q105756
sam-lipsyte-reads-thomas-mcguane|https://www.newyorker.com/podcast/fiction/sam-lipsyte-reads-thomas-mcguane|Sam Lipsyte reads Thomas McGuane||2011-04-21|Sam Lipsyte|Thomas Mcguane|Q598494|Q2265116
daniel-alarcon-reads-roberto-bolano|https://www.newyorker.com/podcast/fiction/daniel-alarcon-reads-roberto-bolano|Daniel Alarcon reads Roberto Bolano||2011-03-18|Daniel Alarcon|Roberto Bolano|Q447902|Q297532
anne-enright-reads-john-cheever|https://www.newyorker.com/podcast/fiction/anne-enright-reads-john-cheever|Anne Enright reads John Cheever||2011-02-17|Anne Enright|John Cheever|Q73176|Q336151
hilton-als-reads-james-mccourt|https://www.newyorker.com/podcast/fiction/hilton-als-reads-james-mccourt|Hilton Als reads James McCourt||2011-01-21|Hilton Als|James Mccourt|Q5764481|Q6139237
cynthia-ozick-reads-steven-millhauser|https://www.newyorker.com/podcast/fiction/cynthia-ozick-reads-steven-millhauser|Cynthia Ozick reads Steven Millhauser||2010-12-17|Cynthia Ozick|Steven Millhauser|Q444849|Q640807
jennifer-egan-reads-lore-segal|https://www.newyorker.com/podcast/fiction/jennifer-egan-reads-lore-segal|Jennifer Egan reads Lore Segal||2010-11-19|Jennifer Egan|Lore Segal|Q264283|Q215436
david-means-reads-raymond-carver|https://www.newyorker.com/podcast/fiction/david-means-reads-raymond-carver|David Means reads Raymond Carver||2010-10-15|David Means|Raymond Carver|Q5237471|Q219862
chimamanda-ngozi-adichie-reads-jamaica-kincaid|https://www.newyorker.com/podcast/fiction/chimamanda-ngozi-adichie-reads-jamaica-kincaid|Chimamanda Ngozi Adichie reads Jamaica Kincaid||2010-09-11|Chimamanda Ngozi Adichie|Jamaica Kincaid|Q230141|Q275601
chris-adrian-reads-donald-barthelme|https://www.newyorker.com/podcast/fiction/chris-adrian-reads-donald-barthelme|Chris Adrian reads Donald Barthelme||2010-08-12|Chris Adrian|Donald Barthelme|Q1076930|Q353869
salvatore-scibona-reads-denis-johnson|https://www.newyorker.com/podcast/fiction/salvatore-scibona-reads-denis-johnson|Salvatore Scibona reads Denis Johnson||2010-07-13|Salvatore Scibona|Denis Johnson|Q7406693|Q340016
rivka-galchen-reads-leonard-michaels|https://www.newyorker.com/podcast/fiction/rivka-galchen-reads-leonard-michaels|Rivka Galchen reads Leonard Michaels||2010-06-05|Rivka Galchen|Leonard Michaels|Q2265147|Q3229679
monica-ali-reads-joshua-ferris|https://www.newyorker.com/podcast/fiction/monica-ali-reads-joshua-ferris|Monica Ali reads Joshua Ferris||2010-05-13|Monica Ali|Joshua Ferris|Q464960|Q967640
chang-rae-lee-reads-don-delillo|https://www.newyorker.com/podcast/fiction/chang-rae-lee-reads-don-delillo|Chang-Rae Lee reads Don DeLillo||2010-04-13|Chang-Rae Lee|Don Delillo|Q533256|Q310048
lorrie-moore-reads-julie-hayden|https://www.newyorker.com/podcast/fiction/lorrie-moore-reads-julie-hayden|Lorrie Moore reads Julie Hayden||2010-03-19|Lorrie Moore|Julie Hayden|Q204168|Q16203965
julian-barnes-reads-frank-oconnor|https://www.newyorker.com/podcast/fiction/julian-barnes-reads-frank-oconnor|Julian Barnes reads Frank O'Connor||2010-02-12|Julian Barnes|Frank O'Connor|Q295431|Q1351972
karen-russell-reads-carson-mccullers|https://www.newyorker.com/podcast/fiction/karen-russell-reads-carson-mccullers|Karen Russell Reads Carson McCullers||2010-01-14|Karen Russell|Carson Mccullers|Q3812975|Q230591
junot-diaz-reads-edwidge-danticat|https://www.newyorker.com/podcast/fiction/junot-diaz-reads-edwidge-danticat|Junot Diaz reads Edwidge Danticat||2009-12-15|Junot Diaz|Edwidge Danticat|Q402664|Q450346
yiyun-li-reads-john-mcgahern|https://www.newyorker.com/podcast/fiction/yiyun-li-reads-john-mcgahern|Yiyun Li reads John McGahern||2009-11-12|Yiyun Li|John Mcgahern|Q460088|Q1277641
orhan-pamuk-reads-vladimir-nabokov|https://www.newyorker.com/podcast/fiction/orhan-pamuk-reads-vladimir-nabokov|Orhan Pamuk reads Vladimir Nabokov||2009-10-13|Orhan Pamuk|Vladimir Nabokov|Q241248|Q36591
marisa-silver-reads-peter-taylor|https://www.newyorker.com/podcast/fiction/marisa-silver-reads-peter-taylor|Marisa Silver reads Peter Taylor||2009-09-11|Marisa Silver|Peter Taylor|Q3293710|Q979076
joshua-ferris-reads-george-saunders|https://www.newyorker.com/podcast/fiction/joshua-ferris-reads-george-saunders|Joshua Ferris reads George Saunders||2009-08-10|Joshua Ferris|George Saunders|Q967640|Q1251926
david-bezmozgis-reads-sergei-dovlatov|https://www.newyorker.com/podcast/fiction/david-bezmozgis-reads-sergei-dovlatov|David Bezmozgis reads Sergei Dovlatov||2009-07-07|David Bezmozgis|Sergei Dovlatov|Q84011|Q141114
jonathan-franzen-reads-veronica-geng|https://www.newyorker.com/podcast/fiction/jonathan-franzen-reads-veronica-geng|Jonathan Franzen reads Veronica Geng||2009-06-01|Jonathan Franzen|Veronica Geng|Q316607|Q7922413
tobias-wolff-reads-denis-johnson|https://www.newyorker.com/podcast/fiction/tobias-wolff-reads-denis-johnson|Tobias Wolff reads Denis Johnson||2009-05-08|Tobias Wolff|Denis Johnson|Q495754|Q340016
nathan-englander-reads-isaac-bashevis-singer|https://www.newyorker.com/podcast/fiction/nathan-englander-reads-isaac-bashevis-singer|Nathan Englander reads Isaac Bashevis Singer||2009-04-10|Nathan Englander|Isaac Bashevis Singer|Q1655990|Q75612
joyce-carol-oates-reads-eudora-welty|https://www.newyorker.com/podcast/fiction/joyce-carol-oates-reads-eudora-welty|Joyce Carol Oates reads Eudora Welty||2009-03-09|Joyce Carol Oates|Eudora Welty|Q217557|Q259364
roger-angell-reads-john-updike|https://www.newyorker.com/podcast/fiction/roger-angell-reads-john-updike|Roger Angell reads John Updike||2009-02-11|Roger Angell|John Updike|Q15531308|Q105756
thomas-mcguane-reads-james-salter|https://www.newyorker.com/podcast/fiction/thomas-mcguane-reads-james-salter|Thomas McGuane reads James Salter||2009-01-10|Thomas Mcguane|James Salter|Q2265116|Q1395915
roddy-doyle-reads-maeve-brennan|https://www.newyorker.com/podcast/fiction/roddy-doyle-reads-maeve-brennan|Roddy Doyle reads Maeve Brennan||2008-12-12|Roddy Doyle|Maeve Brennan|Q73506|Q1883652
a-m-homes-reads-shirley-jackson|https://www.newyorker.com/podcast/fiction/a-m-homes-reads-shirley-jackson|A. M. Homes Reads Shirley Jackson||2008-11-12|A. M. Homes|Shirley Jackson|Q278953|Q239910
gary-shteyngart-reads-andrea-lee|https://www.newyorker.com/podcast/fiction/gary-shteyngart-reads-andrea-lee|Gary Shteyngart reads Andrea Lee||2008-10-09|Gary Shteyngart|Andrea Lee|Q1334139|Q4755150
